FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
0,0.049126,0.066153,0.066075,0.106415,0.18033,0.209956,0.226262,0.23387,0.234454,0.178138,0.108098,0.274769,-0.100087,0.008563,0.129527,1.876316,1.008601,0.279898,0.211038,0.118183,0.427853,2.460475,2.502611,0.180404,0.000505,0.071469,0.078971,-0.055852,0.873329,1.448715,0.218777,0.235148,0.303893,0.115657,1.121618,2.551299,0.090764,0.312855,0.143513,0.436785,0.451234,0.428624,0.235119,0.179245,0.060993,0.017436,0.329007,0.083878,0.101723,0.009916,0.027907,-0.038348,0.047079,0.467317,0.023501,-140.562588,0.180404,0.226673,-0.135894,0.804498,-0.118183,0.967873,0.010978,0.533865,0.568105,0.152965,-0.083473,0.081782,0.718392,0.388687,-0.010978,0.430165,0.002423,0.550932,0.938419,2.394383,0.039956,0.077608,-0.026851,-0.107601,54.110174,1.306722,0.419591,0.418821,2.587541,0.238144,0.1838,0.063812,0.018349,0.168804,0.101634,0.467853,2.279506,0.840639,0.011355,0.056371,-0.054273,0.011851,-0.0193,0.035819,0.010283,0.06238,0.011011,0.059951,0.000211,0.573698,0.664532,1.25472,0.254723,0.75852,4.04312,-0.031831,5.74665,-0.79787,0.611297,0.20213,0.20213,1.50945
1,0.04295,0.055088,0.053542,0.092348,0.167117,0.194292,0.206098,0.214679,0.218172,0.161405,0.095204,0.249357,-0.079463,0.027932,0.116043,1.844068,1.028334,0.313517,0.241558,0.187944,0.482744,2.7388,3.097101,0.226777,0.000584,0.099017,0.106288,-0.061334,1.137458,1.783922,0.250356,0.297286,0.362211,0.128324,1.186969,3.192158,0.102103,0.37543,0.182867,0.522274,0.534141,0.511023,0.268095,0.20543,0.061725,0.01945,0.389491,0.087943,0.104267,0.015272,0.03174,-0.06435,0.056026,0.510934,0.119574,-222.449523,0.226777,0.258078,-0.203787,0.704992,-0.187944,1.011034,0.052999,0.672124,0.705289,0.157727,-0.131689,0.090739,0.761137,0.414769,-0.052999,0.406164,0.001423,0.564289,0.794077,2.554712,0.07964,0.06364,-0.052697,-0.05257,64.965344,1.302022,0.470893,0.474879,2.965676,0.268423,0.208843,0.064448,0.02042,0.207441,0.113949,0.511843,2.46652,0.873786,0.018477,0.057903,-0.083638,-0.021322,-0.041617,0.011154,0.019208,0.064435,0.019432,0.062579,0.000375,0.765371,0.524162,1.47572,0.475718,0.596376,3.35603,-0.027879,5.7506,-0.684265,0.826881,0.315735,0.315735,1.95144
2,0.03459,0.047523,0.036953,0.075942,0.163204,0.189863,0.201496,0.208181,0.207998,0.131451,0.069268,0.238333,-0.060891,0.042314,0.104957,1.764649,1.043232,0.352083,0.270591,0.267795,0.515692,2.86952,3.713056,0.27272,0.000701,0.125542,0.132233,-0.066643,1.360484,1.993764,0.276885,0.342838,0.404581,0.141683,1.263677,3.884404,0.113528,0.423184,0.222508,0.590014,0.600574,0.575201,0.298205,0.228795,0.06574,0.023978,0.436541,0.093999,0.11026,0.022476,0.038892,-0.093272,0.066568,0.5431,0.256532,-316.295721,0.27272,0.28714,-0.282971,0.604224,-0.267795,1.044012,0.107,0.788485,0.823123,0.166304,-0.188004,0.100185,0.795007,0.437496,-0.107,0.410351,0.001009,0.603588,0.659888,2.864438,0.130652,0.056127,-0.084954,-0.005163,70.849093,1.268433,0.499022,0.510156,3.236987,0.297507,0.232184,0.068725,0.025195,0.236779,0.122906,0.557745,2.850812,0.934798,0.030524,0.069987,-0.082038,-0.017487,-0.040992,0.014418,0.033759,0.078994,0.033402,0.076892,0.000932,0.919793,0.401227,1.77549,0.775492,0.431908,-7.1104,-0.027905,5.75057,-0.569877,0.999786,0.430123,0.430123,2.55098
3,0.034415,0.044818,0.034163,0.072585,0.165341,0.19324,0.206296,0.212434,0.209862,0.120498,0.062722,0.242367,-0.053651,0.052013,0.104921,1.64136,1.053405,0.384405,0.292928,0.31785,0.549293,3.234968,4.098578,0.32159,0.000676,0.150349,0.157584,-0.073195,1.581985,2.308024,0.298064,0.373717,0.441316,0.15411,1.284417,4.261541,0.126404,0.456916,0.226484,0.619108,0.626871,0.606904,0.316072,0.247953,0.068921,0.020496,0.466969,0.10035,0.113052,0.019534,0.032375,-0.103058,0.064993,0.556321,0.274778,-357.728483,0.32159,0.308657,-0.329339,0.538328,-0.31785,1.057847,0.106135,0.877313,0.90529,0.177826,-0.245891,0.108973,0.809554,0.453588,-0.106135,0.416321,0.00089,0.648371,0.589472,3.002199,0.152447,0.055253,-0.100065,0.036494,68.720847,1.281361,0.535498,0.524917,3.530087,0.316945,0.252561,0.072304,0.021607,0.260045,0.12903,0.605348,3.237771,0.946612,0.029729,0.076555,-0.096486,-0.017178,-0.056027,0.01303,0.031626,0.086192,0.031376,0.084107,0.00103,0.87244,0.441521,1.64342,0.643422,0.4911,0.374897,-0.033111,5.74537,-0.611504,0.947276,0.388496,0.388496,2.28684
4,0.033684,0.042633,0.033727,0.068606,0.179609,0.215903,0.226791,0.228946,0.22708,0.115595,0.058667,0.242543,-0.048832,0.059211,0.111436,1.489715,1.061021,0.395461,0.306542,0.348583,0.565811,3.614261,4.456057,0.367969,0.000637,0.173808,0.180829,-0.07873,1.804359,2.537816,0.315606,0.400186,0.474011,0.16147,1.241263,4.543065,0.134699,0.481588,0.22687,0.638475,0.644354,0.632597,0.326815,0.260787,0.068467,0.012881,0.489324,0.100853,0.11094,0.009788,0.01999,-0.092619,0.064011,0.564965,0.284028,-409.974616,0.367969,0.321692,-0.357503,0.492631,-0.348583,1.066966,0.114138,0.946251,0.969026,0.18434,-0.279752,0.114177,0.819237,0.463075,-0.114138,0.417152,0.00078,0.675825,0.545901,3.124669,0.146861,0.052988,-0.095541,0.047317,67.902398,1.261808,0.559101,0.549869,3.682744,0.328345,0.265906,0.071953,0.013603,0.279321,0.133509,0.64703,3.72769,0.956662,0.027228,0.088102,-0.10868,-0.006191,-0.068488,0.021459,0.027429,0.097353,0.027335,0.095079,0.00124,0.765128,0.526456,1.4545,0.454504,0.604143,3.14871,-0.043045,5.73543,-0.68905,0.826627,0.31095,0.31095,1.90901
5,0.032309,0.042271,0.03135,0.065559,0.177529,0.215079,0.221435,0.22419,0.222638,0.109311,0.053221,0.239278,-0.045811,0.060719,0.107772,1.380346,1.062628,0.39731,0.309609,0.357454,0.559776,3.236953,4.561763,0.356704,0.00077,0.167175,0.173966,-0.077578,1.727647,2.421229,0.315078,0.393493,0.463335,0.162329,1.243026,4.72704,0.133084,0.477095,0.251142,0.650132,0.657091,0.639847,0.331635,0.259209,0.070746,0.01909,0.486417,0.102973,0.114962,0.017687,0.029812,-0.094752,0.07217,0.570106,0.343399,-458.615067,0.356704,0.324784,-0.367992,0.490392,-0.357454,1.072419,0.14238,0.933357,0.960153,0.184153,-0.282232,0.114784,0.825066,0.465266,-0.14238,0.422307,0.000734,0.678465,0.530906,3.258909,0.154104,0.050968,-0.098529,0.042974,69.022632,1.254316,0.547527,0.559862,3.63164,0.332657,0.264286,0.074317,0.020149,0.274054,0.132945,0.634561,4.331103,0.960607,0.027842,0.099084,-0.113046,0.00522,-0.074111,0.030406,0.027694,0.107866,0.027602,0.105439,0.001618,0.720647,0.56044,1.39253,0.392532,0.646723,3.21088,-0.050376,5.7281,-0.718241,0.776446,0.281759,0.281759,1.78506
6,0.031648,0.042374,0.02966,0.06634,0.174833,0.204682,0.220654,0.229791,0.221967,0.107728,0.050221,0.245698,-0.042898,0.067398,0.106692,1.46247,1.069758,0.412133,0.324318,0.381703,0.57013,3.030789,4.49642,0.348118,0.000882,0.164138,0.171581,-0.07707,1.626992,2.360848,0.313096,0.386257,0.448563,0.171448,1.206083,4.888749,0.140077,0.481227,0.262345,0.660161,0.666038,0.636035,0.342233,0.265846,0.079273,0.033609,0.489166,0.116664,0.126885,0.041674,0.052015,-0.085796,0.07657,0.574514,0.335609,-502.989099,0.348118,0.338452,-0.39053,0.48639,-0.381703,1.0771,0.144452,0.944982,0.967929,0.193489,-0.326262,0.121232,0.83008,0.47495,-0.144452,0.432041,0.000708,0.710699,0.498919,3.40578,0.142226,0.050869,-0.090376,0.053978,66.951313,1.279351,0.541348,0.578623,3.729557,0.345242,0.272473,0.08344,0.035502,0.271398,0.133858,0.632205,4.581693,0.964419,0.024141,0.094407,-0.126318,-0.009258,-0.088419,0.016046,0.02259,0.10131,0.022644,0.099287,0.001306,0.673903,0.594603,1.34191,0.341915,0.685869,3.40056,-0.049686,5.72879,-0.74556,0.72372,0.25444,0.25444,1.68383
7,0.03073,0.042208,0.029782,0.067081,0.183636,0.211765,0.237204,0.247048,0.237504,0.104893,0.047321,0.254478,-0.044814,0.069608,0.11202,1.521798,1.072119,0.418602,0.330467,0.381433,0.570899,3.298281,4.40837,0.364816,0.000816,0.175597,0.182894,-0.079451,1.675157,2.372338,0.316406,0.393201,0.455789,0.176505,1.177256,4.78546,0.146313,0.487702,0.244603,0.654238,0.660769,0.630116,0.346474,0.274235,0.081622,0.034609,0.496449,0.116912,0.128301,0.041032,0.052568,-0.075055,0.073642,0.571939,0.30106,-491.053567,0.364816,0.343885,-0.391234,0.486168,-0.381433,1.074352,0.133057,0.963641,0.989485,0.199837,-0.352578,0.124808,0.827119,0.478801,-0.133057,0.438356,0.000763,0.723008,0.499504,3.397792,0.124359,0.052853,-0.079108,0.057152,63.401085,1.260673,0.542578,0.584471,3.74667,0.351645,0.282217,0.086089,0.036613,0.279483,0.139644,0.654387,4.284058,0.96895,0.024136,0.075188,-0.126462,-0.041533,-0.088566,-0.012719,0.022621,0.079693,0.022679,0.078258,0.000836,0.785006,0.510688,1.48689,0.486894,0.582998,3.15262,-0.036099,5.74238,-0.674796,0.849084,0.325204,0.325204,1.97379
8,0.032654,0.044718,0.03082,0.067943,0.18816,0.221641,0.241942,0.248137,0.242646,0.110118,0.050231,0.25041,-0.047796,0.063812,0.115209,1.295463,1.065919,0.408563,0.319572,0.358173,0.554728,3.415756,4.456437,0.370588,0.000773,0.178995,0.185299,-0.079758,1.729744,2.329093,0.317861,0.398162,0.463746,0.169571,1.206431,4.675408,0.140382,0.482232,0.240237,0.64742,0.656968,0.633399,0.340828,0.270286,0.075971,0.026431,0.49485,0.104087,0.120417,0.02385,0.040366,-0.082907,0.07362,0.568945,0.331046,-464.157791,0.370588,0.333835,-0.372571,0.495755,-0.358173,1.071171,0.14473,0.947969,0.984676,0.192657,-0.318892,0.119905,0.82371,0.471748,-0.14473,0.433926,0.000802,0.694926,0.529407,3.30017,0.135817,0.052923,-0.086034,0.043818,64.536987,1.219729,0.538,0.572204,3.609232,0.344833,0.277382,0.080058,0.027951,0.281797,0.141218,0.657563,3.891918,0.968071,0.027587,0.05888,-0.118207,-0.066734,-0.080823,-0.034912,0.027632,0.062255,0.027556,0.061262,0.000574,0.970262,0.35755,1.94706,0.947056,0.367758,6.72102,-0.022127,5.75635,-0.522916,1.05523,0.477084,0.477084,2.89411
9,0.031808,0.044989,0.029965,0.065639,0.182786,0.217965,0.233509,0.238837,0.236996,0.107482,0.048949,0.239139,-0.042851,0.061261,0.111396,0.900732,1.0632,0.395375,0.309733,0.367991,0.553265,3.318467,4.516047,0.357161,0.00075,0.170194,0.176348,-0.07725,1.72988,2.341714,0.313809,0.396083,0.46378,0.162553,1.227904,4.698776,0.133807,0.479196,0.246489,0.649043,0.658074,0.637406,0.333634,0.262632,0.072968,0.022839,0.491262,0.102603,0.11818,0.019841,0.035596,-0.089512,0.072582,0.569668,0.348693,-477.324186,0.357161,0.324892,-0.381573,0.480788,-0.367991,1.071934,0.14943,0.939149,0.974083,0.184527,-0.283534,0.114942,0.824522,0.46539,-0.14943,0.434732,0.000746,0.686226,0.516063,3.433777,0.146134,0.050913,-0.092681,0.036158,69.329544,1.224161,0.539352,0.566373,3.588416,0.335149,0.268013,0.076687,0.024111,0.276013,0.135343,0.638902,3.653918,0.967556,0.025996,0.063284,-0.116716,-0.053203,-0.078178,-0.021854,0.026711,0.069629,0.026656,0.068367,0.000615,0.902454,0.416288,1.72456,0.72456,0.454811,4.23842,-0.026366,5.75211,-0.585842,0.980599,0.414158,0.414158,2.44912
