FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
10,0.039025,0.061997,0.062353,0.111206,0.204261,0.225982,0.245333,0.244283,0.243559,0.172123,0.092468,0.288601,-0.099415,0.031328,0.130902,2.126721,1.031827,0.313868,0.255666,0.166095,0.466911,2.181318,2.786995,0.221962,0.001002,0.093237,0.103309,-0.065145,0.886556,1.59933,0.247859,0.260172,0.307102,0.142204,0.9529,2.951215,0.107456,0.332686,0.192442,0.493433,0.501355,0.471604,0.27126,0.195741,0.057063,0.025368,0.342011,0.07939,0.089836,0.028509,0.039018,0.01998,0.069498,0.496654,0.065184,-212.349659,0.221962,0.270596,-0.176309,0.757193,-0.166095,0.996685,0.034618,0.576044,0.596361,0.178745,-0.209062,0.100553,0.746716,0.424719,-0.034618,0.426298,0.001841,0.594376,0.827678,2.46458,-0.025517,0.071168,0.016552,-0.08322,45.678712,1.378078,0.444308,0.520309,2.810285,0.277696,0.203051,0.060177,0.026811,0.194787,0.119669,0.530312,3.200723,0.878562,0.019633,0.061323,-0.057987,-0.000948,-0.019996,0.027609,0.019735,0.06298,0.019909,0.060797,0.000447,0.78361,0.511241,1.48973,0.489731,0.5825,3.19911,-0.029479,5.749,-0.674608,0.847517,0.325392,0.325392,1.97946
11,0.039068,0.061075,0.0562,0.105439,0.196134,0.215687,0.24182,0.238042,0.237399,0.163632,0.08362,0.276211,-0.086593,0.032238,0.127502,2.086371,1.032767,0.324697,0.257166,0.18954,0.462343,2.111343,2.907112,0.221641,0.001082,0.095062,0.10418,-0.064,0.898419,1.551808,0.249914,0.267826,0.309966,0.140857,1.046918,3.098748,0.105228,0.338516,0.209816,0.511948,0.520967,0.488026,0.275805,0.196388,0.056269,0.028228,0.349373,0.077737,0.089965,0.031898,0.044194,-0.017158,0.076684,0.505927,0.127936,-239.026224,0.221641,0.272541,-0.201373,0.726405,-0.18954,1.00595,0.065017,0.588624,0.612553,0.174448,-0.197959,0.099601,0.755974,0.426253,-0.065017,0.437154,0.001733,0.592162,0.782829,2.674824,0.022242,0.068655,-0.014269,-0.071434,49.897214,1.344179,0.436887,0.504571,2.787714,0.280688,0.202928,0.059234,0.029785,0.197894,0.120126,0.526424,3.18424,0.897412,0.021754,0.071607,-0.064454,0.00599,-0.024484,0.034486,0.022433,0.074783,0.022464,0.072144,0.000647,0.759807,0.528788,1.46288,0.462875,0.603005,3.29257,-0.035251,5.74323,-0.688829,0.820659,0.311171,0.311171,1.92575
12,0.038967,0.06051,0.052696,0.10133,0.193492,0.214443,0.241146,0.239515,0.237138,0.156651,0.078581,0.263178,-0.07127,0.034531,0.12583,2.069904,1.03514,0.32988,0.257799,0.227638,0.46217,2.15658,3.02923,0.224373,0.00106,0.098675,0.106866,-0.063227,0.941451,1.544672,0.252303,0.279008,0.319946,0.139365,1.110774,3.23648,0.10443,0.349306,0.218777,0.527715,0.537316,0.503446,0.278967,0.199189,0.056207,0.029225,0.361015,0.077903,0.091206,0.033061,0.046438,-0.040193,0.078836,0.513649,0.176513,-274.657729,0.224373,0.273571,-0.2403,0.67278,-0.227638,1.013752,0.086767,0.612559,0.638853,0.170567,-0.187088,0.098546,0.763857,0.427057,-0.086767,0.454785,0.001592,0.598659,0.716423,3.002832,0.052817,0.065768,-0.033754,-0.064393,54.485265,1.311132,0.435769,0.498712,2.792528,0.282305,0.204927,0.059057,0.030789,0.20314,0.12109,0.526,3.130969,0.908825,0.019249,0.075293,-0.074059,0.009002,-0.032353,0.037339,0.018979,0.080154,0.019185,0.077342,0.000638,0.677865,0.591309,1.34886,0.348862,0.681176,3.41133,-0.039629,5.73885,-0.74248,0.728254,0.25752,0.25752,1.69772
13,0.038047,0.057527,0.048612,0.09355,0.185009,0.209186,0.231032,0.234848,0.229731,0.142137,0.07162,0.253795,-0.053519,0.040393,0.119564,2.08292,1.041233,0.342614,0.265725,0.290959,0.472383,2.533996,3.204902,0.24284,0.000886,0.11305,0.119791,-0.064397,1.083968,1.599974,0.259806,0.306175,0.350876,0.142575,1.157626,3.44105,0.11102,0.381566,0.212183,0.549329,0.552829,0.524089,0.282699,0.208815,0.055153,0.025244,0.385859,0.085477,0.090366,0.03548,0.040396,-0.057344,0.075104,0.524052,0.218245,-327.784897,0.24284,0.281567,-0.295589,0.59086,-0.290959,1.02435,0.104024,0.6871,0.696795,0.17182,-0.199379,0.100816,0.774665,0.433232,-0.104024,0.484468,0.001431,0.629727,0.619087,3.525789,0.076811,0.063152,-0.048957,-0.046735,59.40479,1.249279,0.444363,0.497164,2.818577,0.284759,0.213784,0.05787,0.026573,0.219579,0.127993,0.544845,3.179914,0.915326,0.019551,0.076841,-0.080005,0.004053,-0.03733,0.033465,0.019415,0.08059,0.019605,0.077905,0.00068,0.675948,0.59208,1.35136,0.351363,0.680587,3.46385,-0.04051,5.73797,-0.742357,0.726173,0.257643,0.257643,1.70273
14,0.036967,0.053363,0.042727,0.083452,0.173296,0.196292,0.213743,0.218116,0.21408,0.121222,0.059867,0.246352,-0.037481,0.044321,0.109503,2.092439,1.045326,0.351967,0.269541,0.352769,0.482549,3.037008,3.308869,0.258096,0.00067,0.125134,0.130534,-0.065016,1.232416,1.665789,0.263954,0.329868,0.38106,0.14399,1.208973,3.556677,0.116768,0.411492,0.194387,0.561057,0.55582,0.535817,0.27993,0.214693,0.052393,0.017673,0.405193,0.094483,0.08694,0.036092,0.028492,-0.074976,0.067352,0.529647,0.236432,-380.680319,0.258096,0.285447,-0.346188,0.514906,-0.352769,1.030075,0.107649,0.758848,0.743085,0.172153,-0.20446,0.101817,0.780528,0.436226,-0.107649,0.526047,0.001351,0.664701,0.532264,4.229109,0.099198,0.062215,-0.063665,-0.029237,64.31266,1.194622,0.454371,0.483196,2.822045,0.280596,0.218544,0.054867,0.018585,0.232996,0.132484,0.560164,3.368656,0.923224,0.02411,0.09314,-0.076301,0.022961,-0.03429,0.049541,0.025236,0.096923,0.025157,0.093586,0.001284,0.692708,0.579173,1.37379,0.373791,0.66432,3.44496,-0.048812,5.72966,-0.731317,0.7452,0.268683,0.268683,1.74758
15,0.04595,0.06913,0.073247,0.112554,0.166095,0.1734,0.183046,0.191345,0.198043,0.18872,0.122213,0.301215,-0.145257,-0.029287,0.115351,2.11602,0.971143,0.183959,0.145886,-0.016188,0.318816,1.829262,1.814091,0.10885,0.000459,0.04132,0.049288,-0.039714,0.449609,0.903166,0.151456,0.155087,0.183334,0.08256,0.777335,1.846009,0.058061,0.191819,0.111448,0.296856,0.319661,0.288807,0.171419,0.12068,0.037666,0.020622,0.216,0.037853,0.063044,0.008787,0.034031,0.070686,0.037836,0.385112,-0.043975,-58.552982,0.10885,0.159152,-0.009064,1.051474,0.016188,0.892619,-0.024198,0.301902,0.345259,0.131436,0.05651,0.058379,0.648428,0.325593,0.024198,0.42556,0.004345,0.531103,1.297372,1.957238,-0.064096,0.091665,0.042549,-0.296873,46.183692,1.312938,0.310892,0.376091,2.037465,0.175077,0.124528,0.039389,0.021614,0.115883,0.073892,0.423993,3.416388,0.717133,0.008153,0.040973,-0.005569,0.030842,0.004633,0.036483,0.006682,0.040855,0.007783,0.039099,0.000081,0.575185,0.663487,1.25596,0.255964,0.757438,4.03643,-0.023207,5.75527,-0.797093,0.612977,0.202907,0.202907,1.51193
16,0.046611,0.068027,0.0756,0.111895,0.154826,0.162518,0.174255,0.18153,0.189671,0.191224,0.126116,0.306388,-0.150687,-0.033813,0.113143,2.047818,0.96675,0.170569,0.136925,-0.02697,0.311318,1.584274,1.720936,0.096368,0.000436,0.03182,0.040153,-0.036951,0.391152,0.859445,0.139904,0.131666,0.163507,0.078154,0.712957,1.762296,0.053832,0.175058,0.105965,0.275899,0.29362,0.264876,0.158211,0.108632,0.037828,0.018812,0.19369,0.044409,0.063648,0.011889,0.031175,0.095784,0.033414,0.371388,-0.068919,-52.251766,0.096368,0.149656,0.007681,1.080869,0.02697,0.880843,-0.038736,0.272627,0.305139,0.129457,0.073797,0.055264,0.63795,0.315852,0.038736,0.42884,0.004675,0.533664,1.333026,1.931868,-0.083565,0.094335,0.055665,-0.32119,44.691472,1.336879,0.300542,0.368174,1.979113,0.161792,0.112194,0.039524,0.019705,0.098663,0.060233,0.406565,3.241218,0.682833,0.008657,0.043461,-0.00791,0.032762,0.00406,0.039388,0.007184,0.044813,0.008239,0.042789,0.000096,0.572168,0.665615,1.25329,0.253291,0.759684,4.05278,-0.024611,5.75387,-0.798698,0.60958,0.201302,0.201302,1.50658
17,0.047196,0.070198,0.077287,0.116,0.159625,0.170085,0.184992,0.192293,0.197919,0.198466,0.133978,0.311147,-0.150099,-0.031786,0.118669,1.936949,0.968715,0.173626,0.141212,-0.014734,0.315042,1.48855,1.700466,0.094391,0.000467,0.030131,0.038638,-0.036619,0.370534,0.83829,0.137826,0.126178,0.156308,0.081155,0.685871,1.776276,0.055987,0.17743,0.107431,0.279522,0.290786,0.259382,0.157898,0.107074,0.038646,0.02061,0.189273,0.052433,0.064639,0.021733,0.033972,0.111173,0.034716,0.373808,-0.068,-53.32226,0.094391,0.15402,0.00249,1.07573,0.014734,0.882894,-0.038932,0.276719,0.29729,0.133438,0.058058,0.057385,0.639761,0.320393,0.038932,0.433785,0.004683,0.541874,1.299882,1.952856,-0.097586,0.09481,0.064721,-0.319914,43.364255,1.341285,0.295329,0.377648,1.967518,0.161801,0.110799,0.040419,0.021606,0.095114,0.057905,0.406146,3.162295,0.702584,0.011261,0.044095,-0.005707,0.035222,0.006613,0.042057,0.010441,0.048058,0.011231,0.0458,0.000134,0.668904,0.59771,1.34053,0.340535,0.688127,3.4568,-0.023217,5.75526,-0.747392,0.718143,0.252608,0.252608,1.68107
18,0.047864,0.072441,0.079121,0.118205,0.166115,0.174174,0.19285,0.198102,0.201835,0.196002,0.132841,0.302989,-0.132837,-0.014257,0.121735,1.899805,0.985928,0.213016,0.172752,0.041438,0.352893,1.800502,1.898226,0.118129,0.000545,0.045945,0.05401,-0.04193,0.479445,0.941795,0.16058,0.165123,0.192182,0.098025,0.780104,2.05155,0.07163,0.22834,0.122999,0.341231,0.344744,0.307538,0.185189,0.130232,0.042048,0.02557,0.232049,0.065893,0.069731,0.037992,0.04184,0.08096,0.043975,0.412024,-0.021853,-78.850867,0.118129,0.18676,-0.045289,0.994885,-0.041438,0.916816,-0.012694,0.3695,0.376033,0.145472,-0.014908,0.069314,0.670615,0.352074,0.012694,0.431849,0.00374,0.552448,1.14297,2.07996,-0.076171,0.087778,0.050056,-0.251563,46.277328,1.313607,0.319359,0.410594,2.112436,0.189225,0.134523,0.044038,0.026835,0.12329,0.078512,0.434065,3.043697,0.711795,0.017902,0.052774,-0.016356,0.031387,0.003882,0.044498,0.018157,0.059103,0.018409,0.056397,0.000314,0.79534,0.502164,1.51114,0.511137,0.570875,3.26576,-0.024658,5.75382,-0.666373,0.860579,0.333627,0.333627,2.02227
19,0.037035,0.05706,0.053814,0.098751,0.179765,0.200172,0.219162,0.217715,0.222007,0.157471,0.08226,0.293406,-0.096823,0.029017,0.117555,2.229876,1.029444,0.2985,0.24621,0.172343,0.459368,2.240432,2.593693,0.20762,0.00084,0.085053,0.095144,-0.062965,0.842768,1.542773,0.236311,0.244884,0.296452,0.138593,0.8941,2.753983,0.106395,0.323564,0.169253,0.467229,0.468563,0.443451,0.255522,0.186636,0.055239,0.020622,0.325095,0.08545,0.087151,0.029986,0.031699,0.044792,0.060109,0.483336,0.017976,-202.414039,0.20762,0.260959,-0.174006,0.749643,-0.172343,0.983478,0.009987,0.556367,0.559643,0.1781,-0.196462,0.098,0.733614,0.417098,-0.009987,0.447815,0.002072,0.599404,0.814892,2.602935,-0.054858,0.074792,0.035675,-0.101785,43.884599,1.379768,0.435366,0.510284,2.709224,0.262125,0.193735,0.05824,0.021797,0.184078,0.114778,0.516832,3.557842,0.883662,0.014259,0.056906,-0.050089,0.008885,-0.015689,0.033434,0.013621,0.059819,0.014147,0.057584,0.000294,0.679077,0.589628,1.35572,0.355718,0.677414,3.46361,-0.030156,5.74832,-0.740225,0.72974,0.259775,0.259775,1.71144
