FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
0,0.034006,0.051711,0.041905,0.095,0.208024,0.243968,0.265884,0.286163,0.288911,0.184818,0.084389,0.309166,-0.112807,0.04458,0.134561,0.525646,1.045604,0.362794,0.289168,0.147932,0.510183,2.220616,2.996423,0.247256,0.000965,0.091391,0.101682,-0.072681,1.041978,1.850028,0.269394,0.258507,0.341972,0.163191,1.005115,3.241941,0.129084,0.376385,0.189691,0.528462,0.548857,0.499387,0.311859,0.239484,0.104303,0.046596,0.400765,0.130601,0.158759,0.039451,0.068131,-0.002069,0.066429,0.514028,0.049163,-307.92297,0.247256,0.302615,-0.175886,0.804493,-0.147932,1.014128,0.025031,0.674524,0.732814,0.199591,-0.309738,0.115394,0.764231,0.449139,-0.025031,0.428786,0.001727,0.603702,0.835028,2.478328,0.002266,0.072955,-0.001508,-0.010609,42.968418,1.397065,0.480364,0.54714,3.266484,0.322993,0.250437,0.110318,0.049388,0.19288,0.116635,0.525463,1.909823,0.951412,0.03579,0.06494,-0.072882,-0.028204,-0.033566,0.004753,0.040377,0.071788,0.039729,0.069909,0.000938,1.04579,0.289877,2.35451,1.35451,0.271306,-0.873471,-0.020612,5.75786,-0.444146,1.13653,0.555854,0.555854,3.70903
1,0.035065,0.052826,0.044414,0.095698,0.200628,0.238702,0.255025,0.269145,0.279591,0.194102,0.091099,0.311559,-0.124611,0.035958,0.132519,0.379155,1.036634,0.344483,0.273489,0.1084,0.496034,1.837759,2.805251,0.218145,0.001084,0.074851,0.085993,-0.068182,0.888884,1.736271,0.254046,0.230132,0.307312,0.154516,0.990752,3.0454,0.117939,0.34391,0.194571,0.504456,0.525559,0.473323,0.297226,0.22029,0.098811,0.046987,0.368969,0.123652,0.151791,0.040966,0.069556,0.003829,0.068101,0.502083,0.023427,-272.510229,0.218145,0.287432,-0.13665,0.873522,-0.1084,1.002155,0.011654,0.601052,0.657335,0.192498,-0.270523,0.109259,0.752228,0.437649,-0.011654,0.421749,0.001933,0.582143,0.911026,2.332789,-0.004145,0.075588,0.002803,-0.031312,41.906839,1.449245,0.46452,0.528805,3.145205,0.307542,0.230344,0.104446,0.049784,0.172444,0.103692,0.498432,1.903369,0.940481,0.037883,0.092124,-0.054933,0.030187,-0.016495,0.055795,0.044503,0.105237,0.043603,0.101736,0.00203,0.904172,0.410418,1.84994,0.849939,0.44133,2.66769,-0.038354,5.74012,-0.571577,0.980836,0.428423,0.428423,2.69988
2,0.035267,0.053141,0.046288,0.099104,0.194975,0.230611,0.250417,0.258239,0.26937,0.205463,0.099674,0.317694,-0.132605,0.029243,0.132696,0.419279,1.02968,0.326321,0.260571,0.088691,0.48356,2.057901,2.611814,0.209849,0.000922,0.077943,0.089255,-0.06547,0.840422,1.653496,0.241694,0.231491,0.295837,0.148528,0.948277,2.827855,0.114491,0.331619,0.173171,0.477377,0.50102,0.446145,0.285939,0.215324,0.091071,0.047736,0.358982,0.108431,0.139013,0.039696,0.070649,0.021803,0.059532,0.488538,-0.015176,-229.477336,0.209849,0.27464,-0.119418,0.906705,-0.088691,0.988614,-0.007986,0.573786,0.634145,0.189167,-0.246035,0.105025,0.738689,0.427858,0.007986,0.422743,0.002186,0.577412,0.956804,2.246835,-0.025542,0.07923,0.016989,-0.05198,40.880439,1.442152,0.452544,0.519896,3.057028,0.296448,0.225326,0.096313,0.050578,0.175166,0.107602,0.508746,1.812318,0.933778,0.034488,0.130365,-0.06231,0.093238,-0.022896,0.109078,0.039421,0.150767,0.038764,0.145269,0.003463,0.686808,0.583491,1.3696,0.369599,0.669105,3.47192,-0.067795,5.71068,-0.73456,0.738402,0.26544,0.26544,1.7392
3,0.03475,0.053655,0.047225,0.101998,0.192112,0.223324,0.248365,0.254277,0.262145,0.208672,0.103965,0.322994,-0.136953,0.025619,0.132454,0.502906,1.025962,0.323304,0.256387,0.078686,0.472748,2.27616,2.527958,0.2084,0.000812,0.084014,0.094843,-0.063973,0.828861,1.566062,0.23531,0.239142,0.292831,0.146857,0.946456,2.753632,0.114858,0.331335,0.160338,0.4668,0.488492,0.432789,0.279647,0.21357,0.084096,0.047645,0.356089,0.100165,0.127859,0.042661,0.070617,0.021871,0.055922,0.483057,-0.014279,-215.147114,0.2084,0.270395,-0.106506,0.931443,-0.078686,0.983233,-0.007558,0.573298,0.627731,0.18876,-0.240053,0.103843,0.7334,0.424489,0.007558,0.427404,0.002394,0.576736,0.980864,2.226327,-0.025353,0.081715,0.016869,-0.058807,40.806278,1.403125,0.438938,0.507535,2.956227,0.290114,0.223487,0.088964,0.050478,0.181815,0.114724,0.5216,1.730923,0.929747,0.02635,0.140639,-0.068736,0.114685,-0.027883,0.126665,0.027808,0.161195,0.027607,0.154747,0.003077,0.539531,0.687453,1.22982,0.229822,0.780351,4.34712,-0.080815,5.69766,-0.814099,0.573237,0.185901,0.185901,1.45964
4,0.035742,0.054446,0.048468,0.101326,0.187701,0.215775,0.240295,0.247603,0.253963,0.204029,0.104047,0.321685,-0.140024,0.018845,0.129615,0.601738,1.01904,0.307716,0.24272,0.057708,0.453274,2.057108,2.43494,0.191941,0.000818,0.0724,0.08282,-0.061407,0.770051,1.46985,0.226411,0.218786,0.277812,0.138882,0.941196,2.623041,0.106751,0.311477,0.158006,0.447373,0.469416,0.41744,0.266812,0.200529,0.082385,0.0432,0.336416,0.099506,0.126968,0.036929,0.064674,0.023617,0.056134,0.472858,-0.013779,-202.968264,0.191941,0.257007,-0.085388,0.960107,-0.057708,0.973286,-0.007294,0.531379,0.584346,0.181723,-0.203232,0.098205,0.723687,0.41379,0.007294,0.432634,0.002624,0.562118,1.023934,2.232011,-0.025716,0.083484,0.017088,-0.082393,40.749685,1.395569,0.423505,0.489297,2.811758,0.276368,0.209619,0.087053,0.045743,0.165886,0.104852,0.497327,1.714645,0.921664,0.017535,0.128562,-0.093105,0.089653,-0.049697,0.105596,0.016652,0.147619,0.016938,0.14221,0.001685,0.426809,0.760802,1.15795,0.157948,0.845539,5.62911,-0.078508,5.69997,-0.86391,0.448508,0.13609,0.13609,1.3159
5,0.033739,0.051197,0.041749,0.08979,0.180782,0.209009,0.231664,0.238059,0.240996,0.183158,0.090495,0.299064,-0.125364,0.023497,0.122179,0.767177,1.02382,0.312971,0.246051,0.076286,0.46366,1.957932,2.687327,0.200074,0.000876,0.073038,0.082695,-0.062326,0.857313,1.575482,0.237761,0.229864,0.298818,0.137089,1.00712,2.855236,0.104319,0.325939,0.18041,0.477343,0.497036,0.453887,0.271388,0.200655,0.081406,0.036284,0.348685,0.103995,0.129214,0.030107,0.055629,-0.002186,0.062226,0.488001,0.040078,-244.916992,0.200074,0.261041,-0.101661,0.913455,-0.076286,0.988347,0.018783,0.56301,0.612152,0.174976,-0.186698,0.096936,0.738672,0.416971,-0.018783,0.421026,0.002156,0.549933,0.978857,2.319378,0.005291,0.075834,-0.003339,-0.074297,46.502318,1.387471,0.439741,0.493968,2.877669,0.278408,0.208335,0.08576,0.038355,0.16946,0.101761,0.486267,1.825758,0.936389,0.014338,0.125053,-0.125124,0.066827,-0.08165,0.085905,0.012994,0.144802,0.013374,0.140832,0.001301,0.373063,0.794254,1.12958,0.129583,0.872326,6.48229,-0.078287,5.70019,-0.885309,0.389718,0.114691,0.114691,1.25917
6,0.03062,0.046784,0.034107,0.081477,0.186578,0.2185,0.236354,0.242323,0.239146,0.157204,0.072687,0.277416,-0.099704,0.041093,0.118396,0.958104,1.041998,0.358885,0.280494,0.154898,0.502461,2.188017,3.388076,0.257315,0.001057,0.10296,0.111944,-0.07068,1.122642,1.872127,0.276273,0.286922,0.358038,0.152163,1.11912,3.567103,0.117146,0.380729,0.226927,0.558397,0.574006,0.539967,0.305184,0.225696,0.080496,0.032117,0.40033,0.105353,0.128222,0.026202,0.049363,-0.046947,0.076638,0.528041,0.168344,-326.268885,0.257315,0.295453,-0.177356,0.774856,-0.154898,1.028595,0.079239,0.685754,0.732885,0.182262,-0.246594,0.107595,0.779198,0.44353,-0.079239,0.403936,0.001376,0.577963,0.828678,2.451453,0.065207,0.064111,-0.041872,-0.018831,52.177237,1.354424,0.482556,0.52967,3.169556,0.310968,0.233372,0.084771,0.033944,0.208201,0.119187,0.533367,1.9854,0.958621,0.016408,0.127674,-0.13435,0.060429,-0.094255,0.078751,0.015385,0.146841,0.015642,0.143461,0.001539,0.40915,0.771933,1.14818,0.148179,0.854699,5.87324,-0.078677,5.6998,-0.87114,0.429116,0.12886,0.12886,1.29636
7,0.029618,0.046518,0.032756,0.083375,0.201547,0.237077,0.25097,0.258937,0.251431,0.151149,0.067171,0.285014,-0.093538,0.053932,0.122341,1.155112,1.055436,0.391141,0.310068,0.202542,0.525446,2.444637,3.793407,0.314448,0.001198,0.130977,0.140448,-0.080715,1.307504,2.099945,0.306466,0.321248,0.395238,0.169559,1.103887,3.935567,0.132511,0.410626,0.243045,0.594255,0.610531,0.582271,0.33283,0.249722,0.083535,0.029753,0.43176,0.102945,0.128291,0.018354,0.044028,-0.042265,0.083896,0.545053,0.206806,-367.219687,0.314448,0.323666,-0.227037,0.688004,-0.202542,1.046043,0.10021,0.756468,0.810086,0.198551,-0.328376,0.119896,0.797127,0.464473,-0.10021,0.403239,0.001182,0.619079,0.74661,2.492223,0.062851,0.06163,-0.039844,0.013797,48.26091,1.34326,0.512006,0.569551,3.384819,0.341342,0.259567,0.08828,0.031517,0.237143,0.136486,0.591237,2.086517,0.96644,0.017992,0.113881,-0.124144,0.040107,-0.08323,0.061673,0.016805,0.12865,0.017043,0.125517,0.001362,0.4832,0.724901,1.1907,0.190703,0.815207,4.87025,-0.067804,5.71067,-0.840237,0.510566,0.159763,0.159763,1.38141
8,0.030466,0.049885,0.040192,0.095513,0.21279,0.248347,0.264331,0.271489,0.266918,0.170225,0.076801,0.31799,-0.10741,0.051144,0.130773,1.401156,1.052514,0.379446,0.306274,0.181884,0.506314,2.297786,3.338518,0.300445,0.001321,0.120144,0.131385,-0.08242,1.139517,1.952002,0.296142,0.287804,0.359702,0.174177,0.986256,3.461078,0.13464,0.376315,0.215768,0.546427,0.558058,0.532616,0.319429,0.236769,0.079175,0.025842,0.391099,0.099494,0.117087,0.01899,0.036812,0.006296,0.082109,0.522179,0.110765,-328.683003,0.300445,0.318669,-0.198902,0.720548,-0.181884,1.022674,0.057381,0.677043,0.713972,0.21086,-0.36329,0.123162,0.773213,0.460808,-0.057381,0.440242,0.001791,0.634544,0.778859,2.560309,-0.005004,0.07249,0.00354,-0.002872,38.041947,1.382616,0.491817,0.563464,3.179874,0.331282,0.248058,0.083883,0.027406,0.220464,0.13742,0.593467,2.063775,0.954195,0.019098,0.093536,-0.101711,0.019501,-0.057538,0.046233,0.01787,0.103205,0.018113,0.100064,0.000966,0.579608,0.66034,1.26041,0.260411,0.753976,4.00631,-0.052635,5.72584,-0.794641,0.617929,0.205359,0.205359,1.52082
9,0.032284,0.052304,0.046949,0.106159,0.218854,0.254851,0.272845,0.276872,0.277978,0.183354,0.084807,0.358604,-0.127549,0.039515,0.137066,1.587362,1.040357,0.347357,0.284275,0.142757,0.471363,1.917986,2.668725,0.251619,0.001439,0.090911,0.104501,-0.078399,0.837859,1.65353,0.265453,0.228253,0.292313,0.170117,0.862285,2.800692,0.127641,0.316264,0.182505,0.470944,0.47279,0.449815,0.285153,0.203254,0.068835,0.021232,0.318892,0.094966,0.098344,0.025996,0.029458,0.062413,0.075835,0.484823,0.002055,-259.220555,0.251619,0.29601,-0.145953,0.792705,-0.142757,0.985161,0.000366,0.542378,0.550225,0.218264,-0.36301,0.120291,0.735472,0.444028,-0.000366,0.491168,0.002896,0.640123,0.847168,2.628219,-0.074951,0.088997,0.048936,-0.034959,28.85231,1.445998,0.450427,0.53,2.815581,0.298575,0.214363,0.072986,0.022508,0.182645,0.12514,0.569863,2.025658,0.941937,0.025564,0.102373,-0.088942,0.033943,-0.047154,0.058122,0.025865,0.112695,0.025769,0.10911,0.001774,0.666389,0.600116,1.33365,0.333646,0.692237,3.42958,-0.054312,5.72416,-0.749992,0.71524,0.250008,0.250008,1.66729
