FID,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,brightness,wetness,greenness,fanzhaolv,VIGS,BCI,EVI1,EVI2,LSWI,GNDVI,MTCI,PSSRA,IRECI,MCARI1,MCARI2,MCARI3,Rededge,CIrededge,CIg,RDVI,NDRE1,NDRE2,DVI,mNDVI,SR,DVIre,NDVIre,NDI45,NDVI1,NDVI2,NDVI3,RDVI0,RDVI1,RDVI2,RDVI3,NDVIre1n,NDVIre2,NDVIre2n,NDVIre3,NDVIre3n,PSRI,MTVI,TVI,VARI,DF,IREC,SAVI,NDWI,MSI,NDII,TNDVI,NRI,MSRre,MSRren,WDVI,MSAV2,PV,IPV,TNDV,C,SMI,MI,IRIswir1,IRInir,HSI,S2,SI,GSI,GARI,CRE,ARI,GNDVI1,SIPI,CRI,SAVI0,SAVI1,SAVI2,SAVI3,OSAVI,TCARI,MCARI_OSAVI,MRAI2,GDVI,VH,VV,VH_LAI_soil,VV_LAI_soil,VH_LAI_fvc_soil,VV_LAI_fvc_soil,VH_VWC_soil,VV_VWC_soil,VH_VWC_fvc_soil,VV_VWC_fvc_soil,DPSVI,RVI,Mc,TAN1,TAN2,TANc,Hc,DPDD,IDPDD,VDDPI,RVI4SI,R1,R2,R3
361,0.050291,0.06828,0.067534,0.109274,0.21959,0.236428,0.253614,0.290249,0.277883,0.228376,0.135937,0.324067,-0.123093,0.034945,0.146339,2.193525,1.035694,0.389734,0.292981,0.139434,0.477562,2.690446,3.108492,0.283475,0.000973,0.123898,0.132193,-0.076808,1.125039,1.692655,0.279686,0.294824,0.358518,0.166029,1.112564,3.277162,0.132621,0.381518,0.185611,0.528721,0.554341,0.509232,0.319075,0.248742,0.08983,0.043247,0.411789,0.09797,0.133224,0.026626,0.06226,-0.043144,0.074755,0.513724,0.145728,-226.918466,0.283475,0.305938,-0.174331,0.801307,-0.139434,1.014035,0.069569,0.68784,0.760217,0.202981,-0.324352,0.1174,0.76436,0.451195,-0.069569,0.423777,0.002186,0.621731,0.887443,2.23808,0.055699,0.078034,-0.036,-0.002772,41.01409,1.26666,0.456716,0.515132,3.045502,0.331387,0.260591,0.09517,0.045859,0.224111,0.145014,0.588508,2.20307,0.863418,0.010068,0.063778,-0.096089,-0.011206,-0.052706,0.019183,0.008057,0.069895,0.008761,0.067719,0.00024,0.48207,0.72574,1.18953,0.18953,0.816172,4.87215,-0.037978,5.7405,-0.840905,0.509277,0.159095,0.159095,1.37906
362,0.043659,0.061074,0.050806,0.098669,0.21929,0.252113,0.26928,0.291906,0.28129,0.188027,0.099634,0.316054,-0.100184,0.050251,0.141678,2.136061,1.051554,0.416054,0.316582,0.20752,0.503776,2.462643,3.442806,0.310732,0.001192,0.126685,0.135538,-0.083366,1.233129,1.884582,0.302736,0.301491,0.381345,0.178659,1.118647,3.617559,0.141694,0.402289,0.213024,0.566714,0.578925,0.549682,0.329726,0.250904,0.089163,0.030052,0.417367,0.11471,0.13258,0.024744,0.042866,-0.048221,0.084348,0.5323,0.183297,-287.125815,0.310732,0.328717,-0.224861,0.690198,-0.20752,1.032811,0.088137,0.735978,0.773467,0.212807,-0.380653,0.126331,0.783357,0.468117,-0.088137,0.438146,0.001754,0.653663,0.752307,2.519474,0.064774,0.072874,-0.041578,0.027297,40.426631,1.291803,0.48508,0.534201,3.142823,0.341695,0.262655,0.094452,0.031874,0.228453,0.144396,0.593008,2.411601,0.928593,0.009974,0.079016,-0.123552,-0.015691,-0.077431,0.015612,0.007572,0.082604,0.008184,0.080461,0.000381,0.4122,0.769752,1.15068,0.150685,0.85246,5.9039,-0.04882,5.72966,-0.869526,0.432608,0.130474,0.130474,1.30137
363,0.041159,0.059678,0.046063,0.097807,0.222046,0.268155,0.28603,0.295758,0.290972,0.169986,0.084405,0.307556,-0.095823,0.046825,0.143756,2.116117,1.047962,0.398988,0.305525,0.208704,0.494963,2.375857,3.335559,0.292198,0.00122,0.122493,0.131541,-0.079094,1.147478,1.799025,0.29175,0.297169,0.364122,0.171339,1.110203,3.529658,0.133867,0.388486,0.216569,0.558026,0.570498,0.538159,0.320612,0.240082,0.08072,0.03201,0.403895,0.103307,0.121332,0.028357,0.046579,-0.043794,0.084929,0.528179,0.179643,-277.203259,0.292198,0.318427,-0.226102,0.693268,-0.208704,1.028583,0.087245,0.703037,0.740166,0.205236,-0.344917,0.121155,0.779013,0.460674,-0.087245,0.439393,0.001749,0.644088,0.751048,2.563421,0.059174,0.071922,-0.037918,0.009011,42.086478,1.303686,0.473225,0.529279,3.071603,0.331276,0.250852,0.085456,0.033935,0.224692,0.141234,0.585077,2.423144,0.949315,0.011008,0.096474,-0.126137,0.007162,-0.080713,0.034796,0.008929,0.101106,0.009468,0.098406,0.000603,0.375086,0.792778,1.13128,0.131282,0.870792,6.53068,-0.060433,5.71804,-0.884207,0.392063,0.115793,0.115793,1.26256
364,0.041876,0.05889,0.043761,0.095815,0.223404,0.26179,0.28048,0.291757,0.287465,0.164419,0.07993,0.302831,-0.097832,0.043812,0.140892,2.163918,1.044799,0.389032,0.297887,0.193496,0.490866,2.525614,3.240785,0.284122,0.001157,0.130307,0.139358,-0.075161,1.099062,1.730086,0.281747,0.307649,0.354421,0.166153,1.115792,3.476797,0.129655,0.384786,0.213735,0.552997,0.570524,0.528099,0.319043,0.240149,0.07498,0.041298,0.406385,0.087505,0.112867,0.03516,0.060715,-0.044045,0.0826,0.52581,0.176671,-276.556694,0.284122,0.311355,-0.218032,0.72534,-0.193496,1.026145,0.085362,0.694048,0.74624,0.199724,-0.319364,0.117488,0.776499,0.455573,-0.085362,0.434627,0.001738,0.628065,0.773988,2.533993,0.060469,0.071322,-0.038824,-0.000262,44.393969,1.300891,0.463706,0.52836,3.083053,0.329288,0.250669,0.079373,0.043769,0.232574,0.144633,0.598627,2.339572,0.952461,0.014706,0.095059,-0.12009,0.003502,-0.075661,0.031537,0.013604,0.098973,0.013974,0.09637,0.000755,0.479137,0.725182,1.1979,0.197902,0.810706,5.26933,-0.056818,5.72166,-0.838287,0.507055,0.161713,0.161713,1.3958
365,0.041579,0.057408,0.042574,0.092994,0.226044,0.251157,0.273289,0.289344,0.282958,0.165662,0.078812,0.307939,-0.102711,0.044489,0.138021,2.194161,1.045504,0.391705,0.30069,0.186613,0.49658,2.51978,3.21263,0.283364,0.00113,0.127335,0.136662,-0.075674,1.100869,1.757685,0.281905,0.303541,0.354924,0.168539,1.102505,3.463883,0.132343,0.387383,0.209198,0.55184,0.568496,0.525111,0.320161,0.24243,0.07936,0.042325,0.407824,0.095007,0.11901,0.037635,0.061852,-0.039913,0.08036,0.52527,0.157079,-269.574296,0.283364,0.313869,-0.209933,0.739186,-0.186613,1.025587,0.076144,0.700062,0.749598,0.202755,-0.331921,0.119175,0.77592,0.457418,-0.076144,0.429438,0.001756,0.630258,0.786685,2.456498,0.054144,0.072235,-0.034901,0.005477,43.512365,1.312741,0.467687,0.530722,3.121156,0.33097,0.25331,0.084029,0.044867,0.229751,0.143108,0.594497,2.272436,0.952578,0.025553,0.09719,-0.093825,0.013208,-0.051675,0.040405,0.026764,0.101573,0.026629,0.098607,0.001494,0.677929,0.588053,1.37315,0.373148,0.670039,3.66916,-0.050655,5.72782,-0.736066,0.728725,0.263934,0.263934,1.7463
366,0.041497,0.060461,0.048123,0.101077,0.226118,0.25473,0.281817,0.29392,0.288954,0.181726,0.091843,0.31312,-0.111064,0.039985,0.1441,2.152113,1.04081,0.381384,0.294054,0.168812,0.490817,2.226773,3.093201,0.262921,0.001155,0.105951,0.115534,-0.074738,1.040999,1.72833,0.276422,0.274339,0.342164,0.165693,1.075792,3.320433,0.128866,0.373003,0.204893,0.536824,0.549411,0.511184,0.309498,0.23108,0.084197,0.036392,0.388286,0.109872,0.127531,0.035372,0.053244,-0.030602,0.079141,0.518059,0.127038,-230.122078,0.262921,0.307343,-0.186138,0.763439,-0.168812,1.018232,0.062545,0.666462,0.702506,0.201429,-0.320692,0.117162,0.768412,0.452625,-0.062545,0.420602,0.001888,0.626783,0.826804,2.304936,0.039348,0.074331,-0.025469,-0.00466,41.806717,1.337039,0.463507,0.521416,3.035758,0.319967,0.241498,0.089091,0.038577,0.207216,0.130399,0.555948,2.231978,0.943283,0.03919,0.105402,-0.0556,0.043481,-0.01724,0.066853,0.043598,0.114469,0.042707,0.110508,0.002532,0.849489,0.45808,1.62503,0.625035,0.509677,4.21965,-0.046819,5.73166,-0.624161,0.921222,0.375839,0.375839,2.25007
367,0.041978,0.061972,0.054387,0.108705,0.219032,0.254924,0.282915,0.290495,0.28805,0.190982,0.103021,0.314522,-0.123048,0.03098,0.14704,2.116321,1.03148,0.359747,0.278474,0.132301,0.474299,1.956501,2.910671,0.234561,0.001179,0.087317,0.096958,-0.070765,0.934728,1.618456,0.262884,0.246839,0.318279,0.156952,1.052038,3.118763,0.119578,0.348956,0.201369,0.514154,0.523936,0.488307,0.292451,0.213066,0.081216,0.032256,0.360668,0.111773,0.125001,0.034515,0.04791,-0.021037,0.078409,0.506998,0.105283,-188.775554,0.234561,0.292352,-0.145444,0.821715,-0.132301,1.007037,0.052757,0.611896,0.638259,0.194014,-0.280756,0.110982,0.757077,0.441434,-0.052757,0.407947,0.002063,0.609043,0.904095,2.126131,0.025628,0.076044,-0.016622,-0.030275,41.599401,1.353535,0.447108,0.50515,2.882216,0.30171,0.222385,0.085832,0.03417,0.185897,0.117661,0.520943,2.222627,0.928465,0.04321,0.098143,-0.034964,0.048655,0.000444,0.070717,0.049171,0.110486,0.047915,0.106259,0.002493,0.933572,0.390099,1.80021,0.800206,0.416385,6.01521,-0.038843,5.73963,-0.559448,1.01527,0.440552,0.440552,2.60041
368,0.042509,0.061736,0.057358,0.110762,0.210385,0.245234,0.270242,0.276645,0.276229,0.197868,0.111091,0.316682,-0.134864,0.022003,0.144101,2.12284,1.022257,0.340492,0.26373,0.096139,0.455384,1.82518,2.74225,0.213765,0.001183,0.078044,0.087606,-0.066807,0.84163,1.494451,0.249354,0.230521,0.296042,0.148704,1.034219,2.938978,0.111198,0.32731,0.196409,0.492046,0.501718,0.465353,0.278475,0.199126,0.075542,0.031528,0.338726,0.104713,0.117393,0.034625,0.047443,-0.013498,0.077786,0.49598,0.093052,-158.845055,0.213765,0.278048,-0.108841,0.884128,-0.096139,0.996002,0.047276,0.564532,0.58923,0.187077,-0.243198,0.105149,0.746023,0.430513,-0.047276,0.399583,0.002277,0.593442,0.983959,1.990824,0.015866,0.077969,-0.010294,-0.056003,41.612884,1.354422,0.427502,0.489783,2.742877,0.286915,0.207653,0.079769,0.033376,0.173768,0.110956,0.504003,2.210695,0.913422,0.036782,0.099403,-0.03279,0.06584,0.001291,0.083639,0.040913,0.115593,0.039966,0.110595,0.002144,0.848735,0.458116,1.63608,0.63608,0.508701,5.07745,-0.04428,5.7342,-0.623065,0.920135,0.376935,0.376935,2.27216
369,0.042978,0.062934,0.05953,0.112621,0.202136,0.232376,0.251753,0.259802,0.261063,0.207361,0.121295,0.313249,-0.137394,0.01642,0.139274,2.105858,1.016559,0.329248,0.253477,0.079315,0.440352,1.803742,2.682923,0.205256,0.001175,0.076387,0.085587,-0.064534,0.805139,1.419161,0.242844,0.227815,0.287001,0.142264,1.047345,2.854859,0.104973,0.315218,0.195579,0.48113,0.497195,0.456929,0.274616,0.195496,0.073635,0.034326,0.334111,0.094168,0.115055,0.03103,0.052108,-0.017582,0.078413,0.490469,0.102235,-145.46576,0.205256,0.268176,-0.10026,0.907664,-0.079315,0.990517,0.051721,0.538755,0.579066,0.180611,-0.212232,0.100596,0.740565,0.42281,-0.051721,0.396963,0.00238,0.581955,1.023322,1.952896,0.020314,0.078265,-0.01316,-0.073154,42.650407,1.34011,0.415007,0.481734,2.68504,0.282605,0.20369,0.077714,0.036317,0.171386,0.109999,0.499243,2.180696,0.893384,0.029054,0.117092,-0.047411,0.0979,-0.011007,0.110447,0.029967,0.1393,0.029573,0.133096,0.00232,0.670491,0.595069,1.35225,0.352254,0.681716,3.55628,-0.062253,5.71622,-0.743619,0.720177,0.256381,0.256381,1.70451
370,0.041892,0.063429,0.057263,0.111082,0.208516,0.232982,0.253256,0.265869,0.264123,0.212793,0.12423,0.303791,-0.133338,0.017196,0.139817,2.037601,1.017349,0.330836,0.252894,0.077652,0.442335,1.943132,2.771966,0.211875,0.001132,0.08468,0.093467,-0.06418,0.844864,1.44189,0.245493,0.245103,0.296865,0.1403,1.091864,2.936706,0.10389,0.322917,0.200718,0.491712,0.516914,0.469558,0.283237,0.204742,0.075335,0.041004,0.352894,0.084492,0.118035,0.028824,0.062641,-0.032629,0.078705,0.495807,0.128196,-156.845735,0.211875,0.267949,-0.111234,0.906693,-0.077652,0.995832,0.063173,0.555156,0.620759,0.17657,-0.199516,0.099207,0.745856,0.422625,-0.063173,0.391141,0.002202,0.571131,1.021914,1.962927,0.039003,0.075404,-0.025242,-0.069778,45.751699,1.323743,0.41886,0.48783,2.768911,0.290903,0.212977,0.079485,0.043362,0.182876,0.115665,0.510468,2.20148,0.902144,0.025819,0.114629,-0.068583,0.083122,-0.027839,0.099696,0.025911,0.137068,0.025785,0.131574,0.002016,0.631206,0.623628,1.31036,0.310362,0.714114,3.72498,-0.062798,5.71568,-0.766321,0.675911,0.233679,0.233679,1.62072
